,NAME10,churn9714,churn0012,totemp1997,totemp2000,totemp12,totemp14,totemp9714,totemp0012,growjob,growhov,growinc,x_centr,y_centr
139,Norwalk,0.308227931,0.310783022,17524,17229,21479,20844.5,4250,4250,-3.80E-08,6.05E-06,-6.82E-06,-118.0829152,33.90688083
140,Oak Park,0.436271268,0.478907736,546,515,8685.5,16547,8170.5,8170.5,NA,NA,NA,-118.7669255,34.18498087
141,Oceanside,0.362432422,0.368244436,29035,29917,35283,38370,5366,5366,6.37E-06,1.93E-06,7.37E-07,-117.3082467,33.22472213
142,Ontario,0.402991743,0.410370151,55583,70488,96026,98618,25538,25538,6.04E-07,8.65E-07,1.60E-06,-117.6064271,34.03926494
143,Orange,0.330434637,0.336886539,39927,43220,47216,53686,3996,3996,1.06E-06,-8.53E-07,1.14E-06,-117.8231855,33.80464196
144,Oxnard,0.318903997,0.326528309,30413,29575,33184,36378.5,3609,3609,-3.19E-07,-2.44E-06,2.88E-07,-119.1816615,34.1957573
145,Palm Desert,0.377354121,0.396944668,8359,12294,12341,10651.5,47,47,9.61E-06,8.40E-06,1.89E-06,-116.3695499,33.73781383
146,Palm Springs,0.370504726,0.390160137,14852,14776,17571,19757,2795,2795,7.96E-06,7.07E-06,1.60E-06,-116.5380208,33.80130932
147,Palmdale,0.407095711,0.418858545,9418,9371,13568,14365,4197,4197,-3.01E-08,-6.62E-07,-6.30E-06,-118.1057723,34.59449
148,Paramount,0.349057866,0.378427582,19279,16920,18949,27628.5,2029,2029,2.38E-06,2.46E-07,7.92E-07,-118.1651252,33.89761724
149,Pasadena,0.332115042,0.354620157,87361,79606,100515,117622,20909,20909,-4.31E-08,-3.46E-07,3.27E-08,-118.1389217,34.15976348
150,Pedley,0.333449992,0.338496659,1620,1402,2616,2815,1214,1214,1.91E-05,3.23E-05,4.78E-05,-117.471861,33.98058262
151,Perris,0.414942689,0.445721156,925,1023,1782,1557,759,759,NA,NA,NA,-117.2232918,33.78973456
152,Phelan,0.33255104,0.318192121,1327,1410,2850,2925,1440,1440,0.000140597,0.000179974,0.000206331,-117.5248408,34.43983139
153,Pico Rivera,0.301043637,0.315573155,21436,19459,18885,20667,-574,-574,2.28E-06,-1.06E-07,-2.72E-06,-118.0887365,33.99017508
154,Placentia,0.311672418,0.317243216,1832,1585,2014,2204,429,429,5.03E-07,-4.28E-05,4.57E-06,-117.8553494,33.8806252
155,Pomona,0.364180843,0.378470531,35074,40883,48637,42807.5,7754,7754,8.66E-07,-3.70E-07,-1.80E-06,-117.7625517,34.05850264
156,Port Hueneme,0.341799712,0.356190073,1285,1071,1374,1435,303,303,-1.12E-05,-6.72E-05,4.27E-06,-119.2036838,34.16151441
157,Poway,0.350254435,0.374410535,13090,19033,26647,27350,7614,7614,4.60E-06,2.84E-06,2.04E-06,-117.0201153,32.9871518
158,Ramona,0.313772091,0.322561413,2851,3243,3373.5,3586,130.5,130.5,5.27E-05,3.51E-05,4.11E-05,-116.8767187,33.0474012
159,Rancho Cucamonga,0.420122443,0.432850442,34121,39938,60858,64614.5,20920,20920,8.31E-07,2.40E-06,3.27E-06,-117.5661759,34.12458956
160,Rancho Mirage,0.417395971,0.424963738,7714,8181,5771,6534,-2410,-2410,1.44E-05,1.25E-05,2.72E-06,-116.4273791,33.7617717
161,Rancho Palos Verdes,0.39843762,0.396702299,273,204,398,404,194,194,NA,NA,NA,-118.3635643,33.75540186
162,Rancho San Diego,0.372700114,0.384697831,508,298,1296,903,998,998,NA,NA,NA,-116.9196917,32.76239652
163,Rancho Santa Margarita,0.370544073,0.37505447,1855,1954,4049,4529,2095,2095,NA,NA,NA,-117.5987622,33.63185387
164,Redlands,0.354202825,0.382615777,13328,17184,17289,19670,105,105,4.10E-06,1.48E-06,-3.58E-06,-117.1709353,34.05113153
165,Redondo Beach,0.344996889,0.355735697,25012,23081,14304.5,15273.5,-8776.5,-8776.5,-2.28E-06,4.16E-06,-5.24E-07,-118.3766082,33.85749311
166,Rialto,0.347381916,0.378458625,7404,7311,9762,9745,2451,2451,-1.05E-06,6.51E-06,-6.45E-06,-117.388536,34.1128158
167,Riverside,0.3648599,0.368481962,83587,83476,89172.5,101146,5696.5,5696.5,3.03E-07,1.87E-07,7.64E-08,-117.3948458,33.93812516
168,Rolling Hills Estates,0.531692625,0.567604733,65,40,25,417,-15,-15,NA,NA,NA,-118.3508329,33.77836644
169,Rosemead,0.313192252,0.331130097,9433,10662,20079.5,20188.5,9417.5,9417.5,1.81E-06,1.40E-06,1.70E-05,-118.0823149,34.06884272
170,Rowland Heights,0.351282864,0.370061965,3255,4309,3718,4176,-591,-591,-2.53E-06,1.57E-06,4.24E-06,-117.8911919,33.97158794
171,Rubidoux,0.343449718,0.353294174,2720,2709,2473,2912,-236,-236,1.27E-07,2.41E-05,2.12E-05,-117.4201712,33.99347199
172,San Bernardino,0.366795527,0.397281017,29904,35286,40956,42151,5670,5670,1.97E-06,5.58E-07,-2.53E-06,-117.2952727,34.13923229
173,San Buenaventura (Ventura),0.316509891,0.333366861,15480,17095,15652,16651,-1443,-1443,-7.28E-07,-4.12E-06,7.65E-07,-119.2313515,34.2744611
174,San Clemente,0.37642505,0.381227324,7164,7821,11235,11894,3414,3414,8.14E-06,-1.48E-05,-1.47E-05,-117.6103645,33.45022324
